Titel in Originalschrift,Titel,Person/Institution,Weitere Beteiligte,Verantwort.angabe,Quelle,Werktitel,Ort/Verlag,Jahr/Datierung,Weitere Angaben,Umfang/Illustr./Format,Verknüpfte Titel,Sprache,Jahr/Datierung,Weitere Titel,Ausgabe,Schlagwörter,Regensburger Verbundklassifikation,Basisklassifikation,Ordnungsgruppe,ISBN/ISSN/ISMN,Beschreibung,Einzelbände/Artikel,Linksammlung,Standort,Signaturen,Zum Inhalt,Incipit/Explicit,lds49,Univ. Angaben,Signatur/Inv-Nr. etc.,Bestandsangabe,Verfügbarkeit,Unselbst. Werk / Artikel,Bandangaben,Benutzungsrechte,Hinweis,Vorgänger/Nachfolger etc.,Zitierlink,Zitierlink,Permalink
,"Pora sercja : Ingeborg Bachman - Paul' Celan lystuvannja ; z lystuvannjami miž Paulem Celanom i Maksom Frišem, a takož miž Ingeborg Bachman i Žizel' Celan-Lestranž",,"Bachmann, Ingeborg, 1926-1973 [MitwirkendeR] ;Celan, Paul, 1920-1970 [MitwirkendeR] ;Badiou, Bertrand, 1957- [HerausgeberIn] ;Cybenko, Larysa, 1957- [ÜbersetzerIn] ","uporjadk. j prokom. Bertran Bad'ju ... Pereklali Larysa Cybenko i Petro Rychlo",,Herzzeit,Černivci : Knyhy-XXI,2012,,415 S.; Ill.,,Ukrainisch,,Herzzeit;Gesamttitel:  Merydian sercja,,"Bachmann, Ingeborg, 1926-1973;Celan, Paul, 1920-1970;Briefsammlung 1948-1961;Celan, Paul, 1920-1970;Briefsammlung 1948-1961;Celan, Paul, 1920-1970;Frisch, Max, 1911-1991;Briefsammlung;Celan-Lestrange, Gisèle, 1927-1991;Bachmann, Ingeborg, 1926-1973;Briefsammlung",,17.98 - Textsammlungen;18.10 - Deutsche Literatur,,ISBN: 9786176140337,,,,,,,,,,2006218-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC10876482,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21245343910003338&context=L&vid=ONB&lang=de_DE
,U oluji ruža : izbor iz poezije,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Stamać, Truda, 1942-2021 [ÜbersetzerIn] ",Ingeborg Bachmann. Izabrala i prevela Truda Stamać,,,Zagreb : MeandarMedia,2014,,120 S.,,Kroatisch,,Gesamttitel: Edicija Antologije 2,,Gedicht;Deutsch o;Kroatisch ü,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9789533340777,Anmerkungen:  Literaturverz. S. [123] ,,,,,,,,,2060616-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC12307141,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21305735140003338&context=L&vid=ONB&lang=de_DE
,"Místo pro náhody : 2 : Eseje o literature, hudbě, filosofii / [translation Michaela Jacobsenová ; editorial notes Michaela Jacobsenová, Eva Jelínková]","Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Jacobsenová, Michaela, 1947- [ÜbersetzerIn] ",Ingeborg Bachmannová,,,Praha : Triáda,2010,,356 S.,,Tschechisch,,,,,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9788087256145,,,,,,,,,,1919351-B.2 NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC08495586,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21327066890003338&context=L&vid=ONB&lang=de_DE
,Ansia y otros cuentos,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Fuente, Ana María de la [ÜbersetzerIn] ",Ingeborg Bachmann. Trad. de Ana María de la Fuente,,,Madrid : Siruela,2005,,123 S.; 23 cm,,Spanisch,,Ansia;Gesamttitel: Libros del tiempo 207,,,,,,ISBN: 8478448942,Enth. außerdem u.a.: La balsa. En el cielo y en la tierra,,,,,,,,,1798645-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC04906011,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21367536060003338&context=L&vid=ONB&lang=de_DE
Να λέω λόγια σκοτεινά,Na leō logia skoteina,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Sideri-Speck, Dadi, ca. 20./21. Jh. [ÜbersetzerIn] ",Ingeborg Bachmann. Eisagōgē-metaphrasē-sēmeiōseis Dadē Siderē-Speck,,,Athēna : Nephelē;Athēna : Nephelē; Αθήνα Νεφέλη,2007,,207 S.,,Neugriechisch,,Gesamttitel:  Xenē poiēsē,,Gedicht;Deutsch o;Neugriechisch ü,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9789602118504,Aus dem Dt. übers.,,,,,,,,,1982590-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC09385342,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21381827340003338&context=L&vid=ONB&lang=de_DE
,Last living words : the Ingeborg Bachmann reader,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Friedberg, Lilian M. [ÜbersetzerIn] ;Lorenz, Dagmar C. G., 1948- [VerfasserIn eines Vorworts] ",transl. from the German by Lilian Friedberg. With a critical introd. by Dagmar C. G. Lorenz,,,København [u.a.] : Green Integer,2005,,363 S.; 16 cm,,Englisch,,Last living words - The Ingeborg Bachmann reader;Gesamttitel: Green Integer 136,1. Green Integer ed..,,,,,ISBN: 1933382120,,,,,,,,,,1814215-A NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC05393359,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21363520500003338&context=L&vid=ONB&lang=de_DE
,Trois sentiers vers le lac,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Belletto-Sussel, Hélène, 1947- [ÜbersetzerIn] ","Ingeborg Bachmann. Trad. de l'allemand par Hélène Belletto",,Simultan,Paris : Les Éds. du Sorbier,1982,,250 S.; 21 cm,,Französisch,,"Gesamttitel:  L' étrangère",,,,,,ISBN: 2732000140,,,,,,,,,,1199720-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01494834,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21339331500003338&context=L&vid=ONB&lang=de_DE
,Die Radiofamilie,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","McVeigh, Joseph [HerausgeberIn] ",Ingeborg Bachmann. Hrsg. und mit einem Nachw. von Joseph McVeigh,,,Berlin : Suhrkamp,2012,,410 S.; Ill.; 18 cm,,Deutsch,,Gesamttitel: Suhrkamp Taschenbücher 4361,1. Aufl..,Drama;Deutsch,GN 2947,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9783518463611; ISBN: 3518463616,Anmerkungen:  Literaturverz. S. 405 - 410 ,,,,,,,,,1981183-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC09369596,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21386731740003338&context=L&vid=ONB&lang=de_DE
,"Voi, cuvinte : 101 poeme antume şi postume","Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Mureşanu, Ana. [Sonstige] ;Trufin, Ramona. [Sonstige] ",Ingeborg Bachmann ; seleçtia poemelor şi traducerea din germană de Ana Mureşanu şi Ramona Trufin,,Ausgewählte Gedichte,"Bucureşti, România : Humanitas Fiction",[2017],,209 Seiten; 21 cm,,Rumänisch,,Gesamttitel:  Colecţia poezia,,Anthologie ; Lyrik ; Gedicht;Deutsch o;Rumänisch ü,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9786067791914; ISBN: 6067791919,,,,,,,,,,2116514-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC14555625,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21394822450003338&context=L&vid=ONB&lang=de_DE
,Lettere a Felician,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Moscati, Antonella, 1955- [ÜbersetzerIn] ",Ingeborg Bachmann. Trad. di Antonella Moscati. Premessa di Isolde Moser. Postfazione di Clemens-Carl Härle,,Briefe an Felician,Roma : Nottetempo,2008,,52 S.; Ill.; 15 cm,,Italienisch,,Gesamttitel: Gransassi 10,1. ed..,Brief;Deutsch o;Italienisch ü,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9788874521593,Anmerkungen:  Literaturverz. S. 52 ,,,,,,,,,1924079-A NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC07914378,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21227684770003338&context=L&vid=ONB&lang=de_DE
,La trentième année : nouvelles,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Rollin, Marie-Simone, 1934- [ÜbersetzerIn] ","Ingeborg Bachmann. Trad. de l'allemand par Marie-Simone Rollin",,Das dreißigste Jahr,Paris : Éds. du Seuil,2010,,172 S.; 21 cm,,Französisch,,,,Erzählung;Deutsch o;Französisch ü,,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 9782021010718,,,,,,,,,,1942995-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC08333428,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21324636120003338&context=L&vid=ONB&lang=de_DE
,Non conosco mondo migliore : testo originale a fronte,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Bortoli, Silvia [ÜbersetzerIn] ",Ingeborg Bachmann. Trad. di Silvia Bortoli,,Ich weiß keine bessere Welt,Parma : Guanda,2010,,294 S.; 20 cm,,Deutsch;Italienisch,,Gesamttitel: Le fenici tascabili 229 : Poesia,,Gedicht;Deutsch o;Italienisch ü,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9788860889713,Text dt. u. ital.,,,,,,,,,1943435-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC08323188,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21324596830003338&context=L&vid=ONB&lang=de_DE
,Poèmes,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Daillie, François-René [ÜbersetzerIn] ","Ingeborg Bachmann. Trad. de l' allemand par François-René Daillie",,Sämtliche Gedichte,Arles : Actes Sud,1989,,171 S.; Ill.,,Französisch,,,,,,,,ISBN: 2868693806,,,,,,,,,,1316500-C NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01058163,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21337307320003338&context=L&vid=ONB&lang=de_DE
,A los treinta años,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Fontseré, Margarita [ÜbersetzerIn] ",Ingeborg Bachmann. [Trad. de Margarita Fontseré],,Das dreißigste Jahr,Barcelona : Edhasa,1986,,228 S.,,Spanisch,,Gesamttitel:  Ficciones,1. ed..,,,,,,,,,,,,,,,1312141-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01497739,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21339478850003338&context=L&vid=ONB&lang=de_DE
,Malina : roman,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Uršič, Anja, 1935- [ÜbersetzerIn] ",Ingeborg Bachmann. [Prevedla Anja Uršič],,Malina,Murska Sobota : Pomurska Založba,1983,,334 S.; Notenbeisp.,,Slowenisch,,Gesamttitel:  Zbirka Helikon,,,,,,,,,,,,,,,,1228341-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01055569,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21337265750003338&context=L&vid=ONB&lang=de_DE
,Three paths to the lake : stories,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Gilbert, Mary Fran [ÜbersetzerIn] ",Ingeborg Bachmann. Transl. by Mary Fran Gilbert,,Drei Wege zum See,"New York, NY [u.a.] : Holmes & Meier",1989,,"XXVII, 212 S.; 21 cm",,Englisch,,Gesamttitel:  Modern German voices series,,,,,,ISBN: 0841910707,,,,,,,,,,1318528-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01438644,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21339267970003338&context=L&vid=ONB&lang=de_DE
,Franza : roman,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Couffon, Miguel [ÜbersetzerIn] ","Ingeborg Bachmann. Trad. de l'allemand par Miguel Couffon",,Der Fall Franza,Arles : Actes Sud,1985,,168 S.; 19 cm,,Französisch,,,,Psychiater;Psychische Krise;Ehefrau;Belletristische Darstellung,,,,ISBN: 2868690297,,,,,,,,,,1253545-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC00742068,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21355317460003338&context=L&vid=ONB&lang=de_DE
,Malina,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Solar Bardelli, Juan J. de [ÜbersetzerIn] ",Ingeborg Bachmann. Trad.: Juan J. de Solar Bardelli,,Malina,Tres Cantos (Madrid) : Akal,2003,,343 S.; 22 cm,,Spanisch,,Gesamttitel: Akal literaria 40,,,,,,ISBN: 8446019582,,,,,,,,,,1744499-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC04142472,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21362204670003338&context=L&vid=ONB&lang=de_DE
,The radio family,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","McVeigh, Joseph [HerausgeberIn] ;Mitchell, Mike, 1941- [ÜbersetzerIn] ",Ingeborg Bachmann. Ed. with an afterword by Joseph McVeigh. Transl. by Mike Mitchell,,Die Radiofamilie,London [u.a.] : Seagull Books,2014,,354 S.; 22 cm,,Englisch,,Gesamttitel:  The German list,,Drama;Wien;Familie;Alltag;Geschichte 1950;Belletristische Darstellung;Deutsch o;Englisch ü,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,,,,,,,,,,,2059646-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC12408700,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21306723010003338&context=L&vid=ONB&lang=de_DE
,Ingeboruku bahhaman zenshishū,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Nakamura, Asako [ÜbersetzerIn] ",Asako Nakamura (yaku),,Sämtliche Gedichte,Tōkyō : Seidosha,2011,,444 S.; 20 cm,,Japanisch,,,,Gedicht;Anthologie;Deutsch o;Japanisch ü,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9784791765799; ISBN: 4791765796,,,,,,,,,,2084331-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC12389037,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21301840740003338&context=L&vid=ONB&lang=de_DE
,"Razloži, ljubi : izbrane pesmi","Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Šteger, Aleš, 1973- [ÜbersetzerIn] ","Ingeborg Bachmann. Izbor, prevod in spremna beseda Aleš Šteger",,,Celovec [Klagenfurt] : Dunaj [u.a.] : Mohorjeva Založba,2006,,101 S.; 20 cm,,Slowenisch,,Gesamttitel: Austriaca 23,,,,,,ISBN: 3708602528,,,,,,,,,,1704703-B.23 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC05796349,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21226353300003338&context=L&vid=ONB&lang=de_DE
,Briefe an Felician,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Bischof, Peter, 1934- [IllustratorIn] ",Ingeborg Bachmann. Mit acht Kupferaquatinta-Radierungen von Peter Bischof,,,München [u.a.] : Piper,1991,,49 S. [auf 13 Doppelbl.]; Ill.; 23 cm,,Deutsch,,,,,GN 2947,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 3492031110,,,,,,,,,,1363942-D HAN MAG,,,,,,,,,http://data.onb.ac.at/rec/AC00433497,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21334843440003338&context=L&vid=ONB&lang=de_DE
,"Bu tufandan sonra : Ingeborg Bachmann'dan seçmeler","Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Cemal, Ahmet, 1942-2017 [ÜbersetzerIn] ",hazırlayan ve çeviren: Ahmet Cemal,,,İstanbul : Metis Yayınları,1990,,166 S.,,Türkisch,,Gesamttitel: Metis seçkileri 2,1. basım..,,,,,,Aus d. Dt. übers.,,,,,,,,,1328605-B.2 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC01495690,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21339342760003338&context=L&vid=ONB&lang=de_DE
,Quel che ho visto e udito a Roma,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Agamben, Giorgio, 1942- [HerausgeberIn] ;Kogel, Jörg-Dieter, 1950- [MitwirkendeR] ;Pietra, Kristina [ÜbersetzerIn] ;Raja, Anita, 1953- [ÜbersetzerIn] ",Ingeborg Bachmann. Presentazione di Giorgio Agamben. Con una nota di Jörg-Dieter Kogel. Traduzioni di Kristina Pietra e Anita Raja,,Was ich in Rom sah und hörte,Macerata : Quodlibet,2002,,124 S.; Ill.; 19 cm,,Italienisch,,Gesamttitel: Quodlibet 32,,Rom;Geschichte 1954-1955;Quelle,,,,ISBN: 8886570422,"Anmerkungen:  Einheitssacht. d. beigef. Werkes: Bachmann, Ingeborg: Römische Reportagen  ;Enth.: Cronache da Roma",,,,,,,,,1741964-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC04126633,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21361887490003338&context=L&vid=ONB&lang=de_DE
,Trois sentiers vers le lac : nouvelles,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Belletto-Sussel, Hélène, 1947- [ÜbersetzerIn] ","Ingeborg Bachmann. Trad. de l'allemand Hélène Belletto",,Simultan,Arles [u.a.] : Actes Sud,2006,,273 S.,,Französisch,,Gesamttitel: Babel 724,,,,,,ISBN: 2742758364; ISBN: 9782742758364,,,,,,,,,,1319443-B.724 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC05232579,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21368021800003338&context=L&vid=ONB&lang=de_DE
,"""Male oscuro"" : Aufzeichnungen aus der Zeit der Krankheit : Traumnotate, Briefe, Brief- und Redeentwürfe","Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Schiffermüller, Isolde, 1955- [HerausgeberIn]. [KommentarverfasserIn] ;Pelloni, Gabriella, 1975- [HerausgeberIn]. [KommentarverfasserIn] ",Ingeborg Bachmann ; herausgegeben von Isolde Schiffermüller und Gabriella Pelloni,,,München : Berlin : Zürich : Piper;Berlin : Suhrkamp,2017,,257 Seiten; Illustrationen; 21 cm,,Deutsch,,Gesamttitel:  Werke und Briefe / Ingeborg Bachmann,Erste Auflage.,"Quelle;Bachmann, Ingeborg, 1926-1973;Krankheit",GN 2947,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 9783518426029,"Anmerkungen:  Am Buchrücken: ""Werke"" ;Anmerkungen:  Bibliografie und Literaturverzeichnis: Seite 225-[232] ;Anmerkungen:  Enthält umfangreichen Kommentar ;Anmerkungen:  Verlagsangabe auf der Titelseite: Piper Suhrkamp ;Anmerkungen:  Hier auch später erschienene, unveränderte Nachdrucke (2017) ",,,,,,,,,2111060-B NEU MAG;2098586-B LIT MAG,,,,,,,,,http://data.onb.ac.at/rec/AC13463054,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21306889060003338&context=L&vid=ONB&lang=de_DE
,Werke : 3 : Todesarten : Malina und unvollendete Romane,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Koschel, Christine, 1936-2024 [HerausgeberIn] ",Ingeborg Bachmann ; hrsg. v. Christine Koschel ...,,,München [u.a.] : Piper,1993,,"562 S.; Ill., Notenbeisp.",,Deutsch,,Gesamttitel: Serie Piper 1703,"Neuausg., 1. Aufl., 1.-8. Tsd. = 5. Aufl., 31.-37. Tsd..",,GN 2946,,,ISBN: 3492117031,,,,,,,,,,1066899-B.1703 HAN MAG;2138400-B.3 HAN MAG,,,,,,,,,http://data.onb.ac.at/rec/AC00810826,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21336214120003338&context=L&vid=ONB&lang=de_DE
,"Werke : 1 : Gedichte, Hörspiele, Libretti, Übersetzungen","Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Koschel, Christine, 1936-2024 [HerausgeberIn] ","Ingeborg Bachmann. Hrsg. von Christine Koschel, Inge von Weidenbaum, Clemens Münster",,,München [u.a.] : Piper,1982,,682 S.,,Deutsch,,,"Sonderausg., 2. Aufl..",,,,,ISBN: 3492027741,"Anmerkungen:  Gedruckt bei Wiener Verl., Himberg ;Exemplar/Standort:  LIT;Hinweise:  Bucheinlage des Exemplars des Literaturarchivs auf S. 233 ",,,,,,,,,1195127-B.1 NEU MAG;1841449-B LIT MAG LIT,,,,,,,,,http://data.onb.ac.at/rec/AC01494512,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21339335140003338&context=L&vid=ONB&lang=de_DE
,Werke : 3 : Todesarten : Malina und unvollendete Romane,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Koschel, Christine, 1936-2024 [HerausgeberIn] ","Ingeborg Bachmann. Hrsg. von Christine Koschel, Inge von Weidenbaum, Clemens Münster",,,München [u.a.] : Piper,1982,,562 S.,,Deutsch,,,"Sonderausg., 2. Aufl., 5. - 16. Tsd..",,,,,,"Anmerkungen:  Gedruckt bei Wiener Verl., Himberg ;Exemplar/Standort:  LIT;Hinweise:  Exemplar des Literaturarchivs mit Unterstreichungen auf S. 97, Bucheinlagen den Seiten 219, 231 u. 325 entnommen ",,,,,,,,,1195127-B.3 NEU MAG;1841449-B LIT MAG LIT,,,,,,,,,http://data.onb.ac.at/rec/AC01494519,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21339334940003338&context=L&vid=ONB&lang=de_DE
,Simultan : noveller,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Östergaard, Linda, 1962- [ÜbersetzerIn] ",Ingeborg Bachmann ; översättning Linda Östergaard,,Simultan,[Lund] : Ellerströms,[2018],,204 Seiten; 21 cm,,Schwedisch,,,,Fiktionale Darstellung ; Erzählende Literatur ; Novelle,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9789172475335; ISBN: 9172475331,Aus dem Deutschen übersetzt,,,,,,,,,2145640-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC15422230,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21407602240003338&context=L&vid=ONB&lang=de_DE
,Malina : roman,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Cemal, Ahmet, 1942-2017 [ÜbersetzerIn] ",Ingeborg Bachmann ; çeviren Ahmet Cemal,,Malina,"İstanbul : YKY, Yapı Kredi Yayınları",Ağustos 2020,,282 Seiten; 21 cm,,Türkisch,,"Gesamttitel: Yapı Kredi yayınları 2056;Gesamttitel: Yapı Kredi Yayınları : [...], Modern klasikler 46",12. baskı.,Fiktionale Darstellung;Frau;Ich-Auflösung,,,,ISBN: 9789750808104,,,,,,,,,,NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC16168103,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21480377760003338&context=L&vid=ONB&lang=de_DE
,"""Todesarten""-Projekt : Transkriptionsedition : Band 2 : Das Buch Franza","Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Pichl, Robert [ChefredakteurIn] ;Albrecht, Monika, 1953- [HerausgeberIn] ;Göttsche, Dirk, 1955- [HerausgeberIn] ",unter Leitung von Robert Pichl ; herausgegeben und bearbeitet von Monika Albrecht und Dirk Göttsche,,,Münster : [Verlag nicht ermittelbar],1998,,"III, 331 Seiten",,Deutsch,,,,"Quelle;Bachmann, Ingeborg, 1926-1973, Der Fall Franza;Transkription",,18.10 - Deutsche Literatur,,,,,,,,,,,,2260014-C.2 LIT MAG,,,,,,,,,http://data.onb.ac.at/rec/AC17264134,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21526181600003338&context=L&vid=ONB&lang=de_DE
,Poesie : testo originale a fronte,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Mandalari, Maria Teresa, 1928-1996 [HerausgeberIn] ",Ingeborg Bachmann. A cura di Maria Teresa Mandalari,,,Parma : Guanda,2006,,161 S.; 20 cm,,Deutsch;Italienisch,,Gesamttitel: Le fenici tascabili 162 : I poeti,1. ed..,,,,,ISBN: 8882469670,Text dt. u. ital.,,,,,,,,,1832453-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC05782927,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21226307130003338&context=L&vid=ONB&lang=de_DE
,Werke : 3 : Todesarten : Malina und unvollendete Romane,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Koschel, Christine, 1936-2024 [HerausgeberIn] ",Ingeborg Bachmann. Hrsg. von Christine Koschel ...,,,München : Piper,2010,,562 S.; Notenbeisp.,,Deutsch,,Gesamttitel: Serie Piper 1703,2. Aufl..,Roman;Deutsch,,,,ISBN: 9783492217033,,,,,,,,,,1920987-B.3 NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC08018230,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21228836490003338&context=L&vid=ONB&lang=de_DE
,Werke : 2 : Erzählungen,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Koschel, Christine, 1936-2024 [HerausgeberIn] ",Ingeborg Bachmann. Hrsg. v. Christine Koschel ...,,,Wien [u.a.] : Buchgemeinschaft Donauland [u.a.],[1978],,608 S.,,Deutsch,,,,,,,,,,,,,,,,,,1173463-B.2 NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC07665885,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21234928490003338&context=L&vid=ONB&lang=de_DE
,Werke : [in vier Bänden] : 3 : Todesarten : Malina und unvollendete Romane,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Koschel, Christine, 1936-2024 [HerausgeberIn] ",Ingeborg Bachmann. Hrsg. von Christine Koschel ...,,,München [u.a.] : Piper,1978,,"562 S.; Ill., Notenbeisp.; 21 cm",,Deutsch,,,,,GN 2946,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 3492022863,Enth.: Malina. Der Fall Franza. Requiem für Fanny Goldmann,,,,,,,,,1154054-B.3 HAN MAG;1152555-B.3 NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC00816360,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21234929090003338&context=L&vid=ONB&lang=de_DE
,Frankfurter colleges : problemen van de hedenhaagse literatuur,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Beers, Paul, 1935-2024 [ÜbersetzerIn] ",Ingeborg Bachmann. Uit het Duits vert. door Paul Beers,,Frankfurter Vorlesungen,Amsterdam : Amber,1991,,128 S.; 20 cm,,Niederländisch,,,,,,,,ISBN: 9050931545,,,,,,,,,,1370888-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC00430051,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21334588820003338&context=L&vid=ONB&lang=de_DE
